date,tournament,opponent,scored,conceded,is_home,neutral,city,country
1921-12-18,Friendly,Hungary,0,1,False,False,Budapest,Hungary
1922-05-14,Friendly,Hungary,0,3,True,False,Cracow,Poland
1922-05-28,Friendly,Sweden,2,1,False,False,Stockholm,Sweden
1922-09-03,Friendly,Romania,1,1,False,False,Cernăuţi,Romania
1922-10-01,Friendly,Yugoslavia,3,1,False,False,Zagreb,Yugoslavia
1923-06-03,Friendly,Yugoslavia,1,2,True,False,Cracow,Poland
1923-09-02,Friendly,Romania,1,1,True,False,Lwów,Poland
1923-09-23,Friendly,Finland,3,5,False,False,Helsinki,Finland
1923-09-25,Friendly,Estonia,4,1,False,False,Tallinn,Estonia
1923-11-01,Friendly,Sweden,2,2,True,False,Cracow,Poland
1924-05-18,Friendly,Sweden,1,5,False,False,Stockholm,Sweden
1924-06-10,Friendly,United States,2,3,True,False,Warsaw,Poland
1924-06-29,Friendly,Turkey,2,0,True,False,Łódź,Poland
1924-08-10,Friendly,Finland,1,0,True,False,Warsaw,Poland
1924-08-31,Friendly,Hungary,0,4,False,False,Budapest,Hungary
1925-07-19,Friendly,Hungary,0,2,True,False,Cracow,Poland
1925-08-30,Friendly,Finland,2,2,False,False,Helsinki,Finland
1925-10-02,Friendly,Turkey,2,1,False,False,Istanbul,Turkey
1925-11-01,Friendly,Sweden,2,6,True,False,Cracow,Poland
1926-07-04,Friendly,Estonia,2,0,True,False,Warsaw,Poland
1926-08-08,Friendly,Finland,7,1,True,False,Poznań,Poland
1926-08-20,Friendly,Hungary,1,4,False,False,Budapest,Hungary
1926-09-12,Friendly,Turkey,6,1,True,False,Lwów,Poland
1926-10-03,Friendly,Sweden,1,3,False,False,Stockholm,Sweden
1927-06-19,Friendly,Romania,3,3,False,False,Bucharest,Romania
1928-06-10,Friendly,United States,3,3,True,False,Warsaw,Poland
1928-07-01,Friendly,Sweden,2,1,True,False,Katowice,Poland
1928-10-27,Friendly,Czechoslovakia,2,3,False,False,Prague,Czechoslovakia
1930-09-28,Friendly,Sweden,3,0,False,False,Stockholm,Sweden
1930-10-26,Friendly,Latvia,6,0,True,False,Warsaw,Poland
1931-06-14,Friendly,Czechoslovakia,0,4,True,False,Warsaw,Poland
1931-08-23,Friendly,Romania,2,3,True,False,Warsaw,Poland
1931-10-11,Friendly,Belgium,1,2,False,False,Brussels,Belgium
1931-10-25,Friendly,Yugoslavia,6,3,True,False,Poznań,Poland
1932-05-29,Friendly,Yugoslavia,3,0,False,False,Zagreb,Yugoslavia
1932-07-10,Friendly,Sweden,2,0,True,False,Warsaw,Poland
1932-10-02,Friendly,Latvia,2,1,True,False,Warsaw,Poland
1932-10-02,Friendly,Romania,5,0,False,False,Bucharest,Romania
1933-06-04,Friendly,Belgium,0,1,True,False,Warsaw,Poland
1933-09-10,Friendly,Yugoslavia,4,3,True,False,Warsaw,Poland
1933-10-04,Friendly,Silesia,2,1,False,False,Katowice,Poland
1933-10-15,FIFA World Cup qualification,Czechoslovakia,1,2,True,False,Warsaw,Poland
1933-12-03,Friendly,Germany,0,1,False,False,Berlin,Germany
1934-05-21,Friendly,Denmark,2,4,False,False,Copenhagen,Denmark
1934-05-23,Friendly,Sweden,2,4,False,False,Stockholm,Sweden
1934-08-26,Friendly,Yugoslavia,1,4,False,False,Belgrade,Yugoslavia
1934-09-09,Friendly,Germany,2,5,True,False,Warsaw,Poland
1934-10-14,Friendly,Latvia,6,2,False,False,Riga,Latvia
1934-10-14,Friendly,Romania,3,3,True,False,Lwów,Poland
1935-05-12,Friendly,Austria,2,5,False,False,Vienna,Austria
1935-08-18,Friendly,Yugoslavia,2,3,True,False,Katowice,Poland
1935-09-15,Friendly,Germany,0,1,False,False,Breslau,Germany
1935-09-15,Friendly,Latvia,3,3,True,False,Łódź,Poland
1935-10-06,Friendly,Austria,1,0,True,False,Warsaw,Poland
1935-11-03,Friendly,Romania,1,4,False,False,Bucharest,Romania
1936-02-16,Friendly,Belgium,2,0,False,False,Brussels,Belgium
1936-09-06,Friendly,Latvia,3,3,False,False,Riga,Latvia
1936-09-06,Friendly,Yugoslavia,3,9,False,False,Belgrade,Yugoslavia
1936-09-13,Friendly,Germany,1,1,True,False,Warsaw,Poland
1936-10-04,Friendly,Denmark,1,2,False,False,Copenhagen,Denmark
1937-06-23,Friendly,Sweden,3,1,True,False,Warsaw,Poland
1937-07-04,Friendly,Romania,2,4,True,False,Łódź,Poland
1937-09-12,Friendly,Bulgaria,3,3,False,False,Sofia,Bulgaria
1937-09-12,Friendly,Denmark,3,1,True,False,Warsaw,Poland
1937-10-10,FIFA World Cup qualification,Yugoslavia,4,0,True,False,Warsaw,Poland
1937-10-10,Friendly,Latvia,2,1,True,False,Katowice,Poland
1938-03-13,Friendly,Switzerland,3,3,False,False,Zürich,Switzerland
1938-04-03,FIFA World Cup qualification,Yugoslavia,0,1,False,False,Belgrade,Yugoslavia
1938-05-22,Friendly,Republic of Ireland,6,0,True,False,Warsaw,Poland
1938-06-05,FIFA World Cup,Brazil,5,6,False,True,Strasbourg,France
1938-09-18,Friendly,Germany,1,4,False,False,Chemnitz,Germany
1938-09-25,Friendly,Latvia,1,2,False,False,Riga,Latvia
1938-09-25,Friendly,Yugoslavia,4,4,True,False,Warsaw,Poland
1938-10-23,Friendly,Norway,2,2,True,False,Warsaw,Poland
1938-11-13,Friendly,Republic of Ireland,2,3,False,False,Dublin,Éire
1939-01-22,Friendly,France,0,4,False,False,Paris,France
1939-05-27,Friendly,Belgium,3,3,True,False,Łódź,Poland
1939-06-04,Friendly,Switzerland,1,1,True,False,Warsaw,Poland
1939-08-27,Friendly,Hungary,4,2,True,False,Warsaw,Poland
1947-06-11,Friendly,Norway,1,3,False,False,Oslo,Norway
1947-07-19,Friendly,Romania,1,2,True,False,Warsaw,Poland
1947-08-31,Friendly,Czechoslovakia,3,6,False,False,Prague,Czechoslovakia
1947-09-14,Friendly,Sweden,4,5,False,False,Solna,Sweden
1947-09-17,Friendly,Finland,4,1,False,False,Helsinki,Finland
1947-10-19,Friendly,Yugoslavia,1,7,False,False,Belgrade,Yugoslavia
1947-10-26,Friendly,Romania,0,0,False,False,Bucharest,Romania
1948-04-04,Balkan Cup,Bulgaria,1,1,False,False,Sofia,Bulgaria
1948-04-18,Balkan Cup,Czechoslovakia,3,1,True,False,Warsaw,Poland
1948-06-26,Friendly,Denmark,0,8,False,False,Copenhagen,Denmark
1948-08-25,Balkan Cup,Yugoslavia,0,1,True,False,Warsaw,Poland
1948-09-19,Balkan Cup,Hungary,2,6,True,False,Warsaw,Poland
1948-10-10,Balkan Cup,Romania,0,0,True,False,Chorzów,Poland
1948-10-17,Friendly,Finland,1,0,True,False,Warsaw,Poland
1949-05-08,Friendly,Romania,1,2,False,False,Bucharest,Romania
1949-06-19,Friendly,Denmark,1,2,True,False,Warsaw,Poland
1949-07-10,Friendly,Hungary,2,8,False,False,Debrecen,Hungary
1949-10-02,Friendly,Bulgaria,3,2,True,False,Warsaw,Poland
1949-10-30,Friendly,Czechoslovakia,0,2,False,False,Ostrava,Czechoslovakia
1949-11-06,Friendly,Albania,2,1,True,False,Warsaw,Poland
1950-05-01,Friendly,Albania,0,0,False,False,Tirana,Albania
1950-05-14,Friendly,Romania,3,3,True,False,Wrocław,Poland
1950-06-04,Friendly,Hungary,2,5,True,False,Warsaw,Poland
1950-10-22,Friendly,Czechoslovakia,1,4,True,False,Warsaw,Poland
1950-10-30,Friendly,Bulgaria,1,0,False,False,Sofia,Bulgaria
1951-05-27,Friendly,Hungary,0,6,False,False,Budapest,Hungary
1952-05-18,Friendly,Bulgaria,0,1,True,False,Warsaw,Poland
1952-05-25,Friendly,Romania,0,1,False,False,Bucharest,Romania
1952-06-15,Friendly,Hungary,1,5,True,False,Warsaw,Poland
1952-09-14,Friendly,Czechoslovakia,2,2,False,False,Prague,Czechoslovakia
1952-09-21,Friendly,German DR,3,0,True,False,Warsaw,Poland
1953-04-26,Friendly,Silesia,3,2,False,False,Chorzów,Poland
1953-05-10,Friendly,Czechoslovakia,1,1,True,False,Wrocław,Poland
1953-09-13,Friendly,Bulgaria,2,2,False,False,Sofia,Bulgaria
1953-09-13,Friendly,Silesia,3,3,False,False,Byton,Poland
1953-11-29,Friendly,Albania,0,2,False,False,Tirana,Albania
1954-08-08,Friendly,Bulgaria,2,2,True,False,Warsaw,Poland
1954-09-26,Friendly,German DR,1,0,False,False,Rostock,German DR
1955-05-29,Friendly,Romania,2,2,False,False,Bucharest,Romania
1955-06-26,Friendly,Bulgaria,1,1,False,False,Sofia,Bulgaria
1955-09-11,Friendly,Finland,3,1,False,False,Helsinki,Finland
1956-05-30,Friendly,Norway,0,0,False,False,Oslo,Norway
1956-07-15,Friendly,Hungary,1,4,False,False,Budapest,Hungary
1956-07-22,Friendly,German DR,0,2,True,False,Chorzów,Poland
1956-08-26,Friendly,Bulgaria,1,2,True,False,Wrocław,Poland
1956-10-28,Friendly,Norway,5,3,True,False,Warsaw,Poland
1956-11-04,Friendly,Finland,5,0,True,False,Cracow,Poland
1956-11-16,Friendly,Turkey,1,1,False,False,Istanbul,Turkey
1957-05-19,Friendly,Turkey,0,1,True,False,Warsaw,Poland
1957-06-23,FIFA World Cup qualification,Russia,0,3,False,True,Moscow,Soviet Union
1957-07-05,FIFA World Cup qualification,Finland,3,1,False,False,Helsinki,Finland
1957-09-29,Friendly,Bulgaria,1,1,False,False,Sofia,Bulgaria
1957-10-20,FIFA World Cup qualification,Russia,2,1,True,False,Chorzów,Poland
1957-11-03,FIFA World Cup qualification,Finland,4,0,True,False,Warsaw,Poland
1957-11-24,FIFA World Cup qualification,Russia,0,2,False,True,Leipzig,German DR
1958-05-11,Friendly,Republic of Ireland,2,2,True,False,Chorzów,Poland
1958-05-25,Friendly,Denmark,2,3,False,False,Copenhagen,Denmark
1958-06-01,Friendly,Scotland,1,2,True,False,Warsaw,Poland
1958-06-28,Friendly,German DR,1,1,False,False,Rostock,German DR
1958-09-14,Friendly,Hungary,1,3,True,False,Chorzów,Poland
1958-10-05,Friendly,Republic of Ireland,2,2,False,False,Dublin,Republic of Ireland
1959-05-20,Friendly,Germany,1,1,False,False,Hamburg,Germany
1959-06-21,Friendly,Israel,7,2,True,False,Wrocław,Poland
1959-06-28,UEFA Euro qualification,Spain,2,4,True,False,Chorzów,Poland
1959-08-30,Friendly,Romania,2,3,True,False,Warsaw,Poland
1959-10-14,UEFA Euro qualification,Spain,0,3,False,False,Madrid,Spain
1959-11-29,Friendly,Israel,1,1,False,False,Ramat-Gan,Israel
1960-05-04,Friendly,Scotland,3,2,False,False,Glasgow,Scotland
1960-05-19,Friendly,Russia,1,7,False,False,Moscow,Soviet Union
1960-06-26,Friendly,Bulgaria,4,0,True,False,Chorzów,Poland
1960-09-28,Friendly,France,2,2,True,False,Warsaw,Poland
1960-11-13,Friendly,Hungary,1,4,False,False,Budapest,Hungary
1961-05-21,Friendly,Russia,1,0,True,False,Warsaw,Poland
1961-06-04,FIFA World Cup qualification,Yugoslavia,1,2,False,False,Belgrade,Yugoslavia
1961-06-25,FIFA World Cup qualification,Yugoslavia,1,1,True,False,Chorzów,Poland
1961-10-08,Friendly,Germany,0,2,True,False,Warsaw,Poland
1961-10-22,Friendly,German DR,3,1,True,False,Wrocław,Poland
1961-11-05,Friendly,Denmark,5,0,True,False,Chorzów,Poland
1962-04-11,Friendly,France,3,1,False,False,Paris,France
1962-04-15,Friendly,Morocco,3,1,False,False,Casablanca,Morocco
1962-05-23,Friendly,Belgium,2,0,True,False,Warsaw,Poland
1962-09-02,Friendly,Hungary,0,2,True,False,Poznań,Poland
1962-09-30,Friendly,Bulgaria,1,2,False,False,Sofia,Bulgaria
1962-10-10,UEFA Euro qualification,Northern Ireland,0,2,True,False,Chorzów,Poland
1962-10-11,Friendly,Morocco,1,1,True,False,Warsaw,Poland
1962-10-28,Friendly,Czechoslovakia,1,2,False,False,Bratislava,Czechoslovakia
1962-11-28,UEFA Euro qualification,Northern Ireland,0,2,False,False,Belfast,Northern Ireland
1963-05-15,Friendly,Norway,5,2,False,False,Oslo,Norway
1963-05-22,Friendly,Greece,4,0,True,False,Warsaw,Poland
1963-06-02,Friendly,Romania,1,1,True,False,Chorzów,Poland
1963-09-04,Friendly,Norway,9,0,True,False,Szczecin,Poland
1963-09-22,Friendly,Turkey,0,0,True,False,Poznań,Poland
1963-10-16,Friendly,Greece,1,3,False,False,Athens,Greece
1964-05-10,Friendly,Republic of Ireland,3,1,True,False,Cracow,Poland
1964-09-13,Friendly,Czechoslovakia,2,1,True,False,Warsaw,Poland
1964-09-27,Friendly,Turkey,3,2,False,False,Istanbul,Turkey
1964-10-07,Friendly,Sweden,3,3,False,False,Solna,Sweden
1964-10-25,Friendly,Republic of Ireland,2,3,False,False,Dublin,Republic of Ireland
1965-04-07,Friendly,Belgium,0,0,False,False,Brussels,Belgium
1965-04-18,FIFA World Cup qualification,Italy,0,0,True,False,Warsaw,Poland
1965-05-16,Friendly,Bulgaria,1,1,True,False,Cracow,Poland
1965-05-23,FIFA World Cup qualification,Scotland,1,1,True,False,Chorzów,Poland
1965-09-29,FIFA World Cup qualification,Finland,0,2,False,False,Helsinki,Finland
1965-10-13,FIFA World Cup qualification,Scotland,2,1,False,False,Glasgow,Scotland
1965-10-24,FIFA World Cup qualification,Finland,7,0,True,False,Szczecin,Poland
1965-11-01,FIFA World Cup qualification,Italy,1,6,False,False,Rome,Italy
1966-01-05,Friendly,England,1,1,False,False,Liverpool,England
1966-05-03,Friendly,Hungary,1,1,True,False,Chorzów,Poland
1966-05-18,Friendly,Sweden,1,1,True,False,Wrocław,Poland
1966-06-05,Friendly,Brazil,1,4,False,False,Belo Horizonte,Brazil
1966-06-08,Friendly,Brazil,1,2,False,False,Rio de Janeiro,Brazil
1966-06-11,Friendly,Argentina,1,1,False,False,Buenos Aires,Argentina
1966-07-05,Friendly,England,0,1,True,False,Chorzów,Poland
1966-09-11,Friendly,German DR,0,2,False,False,Erfurt,German DR
1966-10-02,UEFA Euro qualification,Luxembourg,4,0,True,False,Szczecin,Poland
1966-10-22,UEFA Euro qualification,France,1,2,False,False,Paris,France
1966-11-17,Friendly,Romania,3,4,False,False,Ploieşti,Romania
1966-12-03,Friendly,Israel,0,0,False,False,Jaffa,Israel
1967-04-16,UEFA Euro qualification,Luxembourg,0,0,False,False,Luxembourg,Luxembourg
1967-05-21,UEFA Euro qualification,Belgium,3,1,True,False,Chorzów,Poland
1967-09-17,UEFA Euro qualification,France,1,4,True,False,Warsaw,Poland
1967-10-08,UEFA Euro qualification,Belgium,4,2,False,False,Brussels,Belgium
1967-10-29,Friendly,Romania,0,0,True,False,Cracow,Poland
1968-04-24,Friendly,Turkey,8,0,True,False,Chorzów,Poland
1968-05-01,Friendly,Netherlands,0,0,True,False,Warsaw,Poland
1968-05-15,Friendly,Republic of Ireland,2,2,False,False,Dublin,Republic of Ireland
1968-06-09,Friendly,Norway,6,1,False,False,Oslo,Norway
1968-06-20,Friendly,Brazil,3,6,True,False,Warsaw,Poland
1968-10-20,Friendly,German DR,1,1,True,False,Szczecin,Poland
1968-10-30,Friendly,Republic of Ireland,1,0,True,False,Chorzów,Poland
1968-12-17,Friendly,Argentina,0,1,False,False,Mar del Plata,Argentina
1969-04-20,FIFA World Cup qualification,Luxembourg,8,1,True,False,Cracow,Poland
1969-04-30,Friendly,Turkey,3,1,False,False,Ankara,Turkey
1969-05-07,FIFA World Cup qualification,Netherlands,0,1,False,False,Rotterdam,Netherlands
1969-06-15,FIFA World Cup qualification,Bulgaria,1,4,False,False,Sofia,Bulgaria
1969-08-27,Friendly,Norway,6,1,True,False,Łódź,Poland
1969-09-07,FIFA World Cup qualification,Netherlands,2,1,True,False,Chorzów,Poland
1969-10-12,FIFA World Cup qualification,Luxembourg,5,1,False,False,Luxembourg,Luxembourg
1969-11-09,FIFA World Cup qualification,Bulgaria,3,0,True,False,Warsaw,Poland
1969-11-18,Friendly,Iraq,1,1,False,False,Baghdad,Iraq
1970-05-02,Friendly,Hungary,0,2,False,False,Budapest,Hungary
1970-05-06,Friendly,Republic of Ireland,2,1,True,False,Poznań,Poland
1970-05-16,Friendly,German DR,1,1,True,False,Cracow,Poland
1970-05-19,Friendly,Denmark,2,0,False,False,Copenhagen,Denmark
1970-07-22,Friendly,Iraq,2,0,True,False,Szczecin,Poland
1970-09-02,Friendly,Denmark,5,0,True,False,Warsaw,Poland
1970-09-06,Friendly,German DR,0,5,False,False,Rostock,German DR
1970-09-23,Friendly,Republic of Ireland,2,0,False,False,Dublin,Republic of Ireland
1970-10-14,UEFA Euro qualification,Albania,3,0,True,False,Chorzów,Poland
1970-10-25,Friendly,Czechoslovakia,2,2,False,False,Prague,Czechoslovakia
1971-05-05,Friendly,Switzerland,4,2,False,False,Lausanne,Switzerland
1971-05-12,UEFA Euro qualification,Albania,1,1,False,False,Tirana,Albania
1971-09-22,UEFA Euro qualification,Turkey,5,1,True,False,Cracow,Poland
1971-10-10,UEFA Euro qualification,Germany,1,3,True,False,Warsaw,Poland
1971-11-17,UEFA Euro qualification,Germany,0,0,False,False,Hamburg,Germany
1971-12-05,UEFA Euro qualification,Turkey,0,1,False,False,Izmir,Turkey
1972-04-08,Friendly,German DR,2,1,True,False,Łódź,Poland
1972-05-10,Friendly,Switzerland,0,0,True,False,Poznań,Poland
1972-10-15,Friendly,Czechoslovakia,3,0,True,False,Bydgoszcz,Poland
1973-03-20,Friendly,United States,4,0,True,False,Łódź,Poland
1973-03-28,FIFA World Cup qualification,Wales,0,2,False,False,Cardiff,Wales
1973-05-13,Friendly,Yugoslavia,2,2,True,False,Warsaw,Poland
1973-05-16,Friendly,Republic of Ireland,2,0,True,False,Wrocław,Poland
1973-06-06,FIFA World Cup qualification,England,2,0,True,False,Chorzów,Poland
1973-08-01,Friendly,Canada,3,1,False,False,Toronto,Canada
1973-08-03,Friendly,United States,1,0,False,False,Chicago,United States
1973-08-05,Friendly,Mexico,1,0,False,True,Los Angeles,United States
1973-08-08,Friendly,Mexico,2,1,False,False,Monterrey,Mexico
1973-08-10,Friendly,United States,4,0,False,False,San Francisco,United States
1973-08-12,Friendly,United States,0,1,False,False,New Britain,United States
1973-08-19,Friendly,Bulgaria,2,0,False,False,Varna,Bulgaria
1973-09-26,FIFA World Cup qualification,Wales,3,0,True,False,Chorzów,Poland
1973-10-10,Friendly,Netherlands,1,1,False,False,Rotterdam,Netherlands
1973-10-17,FIFA World Cup qualification,England,1,1,False,False,London,England
1973-10-21,Friendly,Republic of Ireland,0,1,False,False,Dublin,Republic of Ireland
1974-04-13,Friendly,Haiti,1,2,False,False,Port-au-Prince,Haiti
1974-04-15,Friendly,Haiti,3,1,False,False,Port-au-Prince,Haiti
1974-04-17,Friendly,Belgium,1,1,False,False,Liège,Belgium
1974-05-15,Friendly,Greece,2,0,True,False,Warsaw,Poland
1974-06-15,FIFA World Cup,Argentina,3,2,False,True,Stuttgart,Germany
1974-06-19,FIFA World Cup,Haiti,7,0,False,True,Munich,Germany
1974-06-23,FIFA World Cup,Italy,2,1,False,True,Stuttgart,Germany
1974-06-26,FIFA World Cup,Sweden,1,0,False,True,Stuttgart,Germany
1974-06-30,FIFA World Cup,Yugoslavia,2,1,False,True,Frankfurt am Main,Germany
1974-07-03,FIFA World Cup,Germany,0,1,False,False,Frankfurt am Main,Germany
1974-07-06,FIFA World Cup,Brazil,1,0,False,True,Munich,Germany
1974-09-01,UEFA Euro qualification,Finland,2,1,False,False,Helsinki,Finland
1974-09-04,Friendly,German DR,1,3,True,False,Warsaw,Poland
1974-09-07,Friendly,France,0,2,True,False,Wrocław,Poland
1974-10-09,UEFA Euro qualification,Finland,3,0,True,False,Poznań,Poland
1974-10-31,Friendly,Canada,2,0,True,False,Warsaw,Poland
1974-11-13,Friendly,Czechoslovakia,2,2,False,False,Prague,Czechoslovakia
1975-03-26,Friendly,United States,7,0,True,False,Poznań,Poland
1975-04-19,UEFA Euro qualification,Italy,0,0,False,False,Rome,Italy
1975-05-28,Friendly,German DR,2,1,False,False,Halle,German DR
1975-06-24,Friendly,United States,4,0,False,False,Seattle,United States
1975-07-06,Friendly,Canada,8,1,False,False,Montréal,Canada
1975-07-09,Friendly,Canada,4,1,False,False,Toronto,Canada
1975-09-10,UEFA Euro qualification,Netherlands,4,1,True,False,Chorzów,Poland
1975-10-08,Friendly,Hungary,4,2,True,False,Łódź,Poland
1975-10-15,UEFA Euro qualification,Netherlands,0,3,False,False,Amsterdam,Netherlands
